epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5514,0.58018,0.70439,0.00579,0.79814,0.67076,0.75517,0.65024,0.61163,1.2658,0.00864,8.03292e-05,8.03292e-05,8.03292e-05
2,97.5479,0.60437,0.74438,0.00645,0.82131,0.63817,0.7524,0.63561,0.67004,1.30858,0.00971,0.000160062,0.000160062,0.000160062
3,143.508,0.64921,0.84681,0.00671,0.7192,0.6431,0.69705,0.59158,0.66273,1.46923,0.00944,0.000238185,0.000238185,0.000238185
4,189.004,0.68563,0.91003,0.00737,0.72886,0.64929,0.72474,0.60937,0.6712,1.3747,0.00972,0.000236753,0.000236753,0.000236753
5,235.284,0.69184,0.98063,0.00746,0.70012,0.66579,0.71467,0.59997,0.68296,1.40886,0.00985,0.000234338,0.000234338,0.000234338
6,281.163,0.65833,0.87729,0.00708,0.80657,0.61021,0.71543,0.60653,0.68866,1.41839,0.01007,0.000231922,0.000231922,0.000231922
7,327.175,0.68692,0.88998,0.00717,0.79998,0.63568,0.73403,0.62739,0.67897,1.29757,0.00976,0.000229506,0.000229506,0.000229506
8,374.402,0.67756,0.88304,0.00744,0.77957,0.6419,0.71949,0.61207,0.65661,1.4452,0.00933,0.000227091,0.000227091,0.000227091
9,420.516,0.6884,0.91512,0.00728,0.75795,0.67888,0.74351,0.62991,0.69307,1.25348,0.01037,0.000224675,0.000224675,0.000224675
10,466.195,0.66876,0.84238,0.00726,0.789,0.65663,0.73211,0.62403,0.69282,1.31483,0.00999,0.00022226,0.00022226,0.00022226
11,512.066,0.6789,0.84898,0.00718,0.78053,0.64199,0.73996,0.62834,0.69729,1.37549,0.00983,0.000219844,0.000219844,0.000219844
12,558.172,0.6772,0.83167,0.00719,0.76791,0.69462,0.7524,0.63791,0.65433,1.28902,0.00927,0.000217428,0.000217428,0.000217428
13,604.023,0.68686,0.83896,0.00729,0.81837,0.63336,0.72823,0.61045,0.68134,1.3735,0.00958,0.000215013,0.000215013,0.000215013
14,649.98,0.66365,0.80365,0.00692,0.83013,0.66242,0.75588,0.643,0.70115,1.30728,0.01003,0.000212597,0.000212597,0.000212597
15,695.699,0.67836,0.82913,0.00746,0.84316,0.60958,0.74008,0.61009,0.72748,1.35095,0.01044,0.000210182,0.000210182,0.000210182
16,741.397,0.67507,0.78579,0.00702,0.80917,0.6182,0.72927,0.62354,0.70746,1.29535,0.01043,0.000207766,0.000207766,0.000207766
17,787.394,0.66177,0.78749,0.00717,0.80295,0.65171,0.73754,0.62369,0.69792,1.33524,0.01013,0.00020535,0.00020535,0.00020535
18,833.156,0.63943,0.73184,0.00683,0.79331,0.66808,0.76033,0.62728,0.69141,1.2723,0.01003,0.000202935,0.000202935,0.000202935
19,879.139,0.65048,0.74554,0.00663,0.81493,0.66848,0.75496,0.64068,0.6886,1.30297,0.00961,0.000200519,0.000200519,0.000200519
20,924.612,0.64512,0.72613,0.00697,0.78036,0.65058,0.74756,0.64169,0.68416,1.30393,0.00945,0.000198104,0.000198104,0.000198104
21,970.717,0.63745,0.6806,0.00698,0.77746,0.69569,0.75328,0.63599,0.69319,1.30134,0.0099,0.000195688,0.000195688,0.000195688
