epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4674,1.26565,4.22345,1.44049,0.05837,0.13239,0.04166,0.02876,1.31642,4.01249,1.61457,0.000329218,0.000329218,0.0674074
2,50.0741,1.25432,3.32919,1.40182,0.19164,0.19095,0.09544,0.06586,1.20322,3.53935,1.44627,0.000661904,0.000661904,0.0344068
3,73.6194,1.30737,3.23044,1.42308,0.13971,0.21276,0.09322,0.06159,1.24836,4.19612,1.46153,0.000991998,0.000991998,0.00140352
4,99.0785,1.31154,3.07755,1.43062,0.15997,0.21673,0.08096,0.05365,1.24406,3.66686,1.4222,0.000991232,0.000991232,0.000991232
5,125.064,1.26504,2.93848,1.38548,0.13968,0.24702,0.11547,0.07563,1.19758,3.43085,1.37043,0.000984449,0.000984449,0.000984449
6,150.952,1.25329,2.83773,1.3887,0.13748,0.28391,0.15006,0.10466,1.14656,3.34981,1.32831,0.000975773,0.000975773,0.000975773
7,177.253,1.20608,2.71094,1.34379,0.26028,0.30288,0.20931,0.15813,1.05429,2.70074,1.26589,0.000965239,0.000965239,0.000965239
8,202.999,1.14987,2.58576,1.32366,0.25089,0.35228,0.2528,0.187,1.04692,2.67494,1.24428,0.000952889,0.000952889,0.000952889
9,229.532,1.16229,2.541,1.32405,0.2849,0.39275,0.27269,0.19314,1.0512,2.4223,1.23881,0.000938772,0.000938772,0.000938772
10,254.941,1.09717,2.40445,1.28332,0.26227,0.42402,0.31422,0.22733,1.03469,2.30062,1.26229,0.000922942,0.000922942,0.000922942
11,280.777,1.11458,2.40846,1.29653,0.28779,0.37832,0.30641,0.23577,0.94275,2.34387,1.17105,0.000905463,0.000905463,0.000905463
12,306.992,1.08583,2.33527,1.28081,0.29604,0.40515,0.3374,0.23779,1.00369,2.33005,1.23718,0.000886404,0.000886404,0.000886404
13,333.132,1.04842,2.22716,1.24482,0.26917,0.40068,0.30338,0.22382,0.97224,2.31666,1.20973,0.000865839,0.000865839,0.000865839
14,358.863,1.03777,2.18317,1.2344,0.38747,0.42503,0.38154,0.29257,0.94296,2.028,1.19838,0.000843851,0.000843851,0.000843851
15,383.968,1.03056,2.16068,1.25243,0.25801,0.43069,0.33685,0.25438,0.92441,2.2634,1.18253,0.000820525,0.000820525,0.000820525
