               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083828,            0.033521,            0.092957,           0.0043889,             0.79355,            0.028492,            0.011864,            0.058406,            0.019089,            0.090824,             0.07037,           0.0032922,           0.0032922
                   1,             0.05811,            0.027444,            0.087873,           0.0048981,             0.86065,            0.031242,            0.013789,            0.050688,            0.014787,             0.08835,            0.040239,           0.0064943,           0.0064943
                   2,            0.051692,            0.023505,            0.086647,           0.0065195,             0.87742,             0.03646,            0.016155,            0.047997,            0.012233,            0.086633,            0.009976,           0.0095645,           0.0095645
                   3,            0.046496,             0.02219,            0.085323,           0.0075149,             0.87637,             0.04338,            0.023909,              0.0428,            0.012525,            0.086269,            0.009406,            0.009406,            0.009406
                   4,            0.041567,            0.020512,            0.084587,            0.017008,             0.78865,            0.055333,            0.031707,            0.041826,            0.012832,            0.085426,            0.009406,            0.009406,            0.009406
                   5,            0.040571,            0.020121,            0.083425,            0.013584,             0.81078,            0.066247,            0.039331,            0.041463,            0.013504,            0.086172,            0.009208,            0.009208,            0.009208
                   6,            0.037278,            0.019707,            0.082246,             0.30688,            0.086726,            0.088045,            0.052278,            0.038609,            0.011389,            0.084089,             0.00901,             0.00901,             0.00901
                   7,            0.035855,            0.019027,            0.080282,             0.17989,            0.088522,            0.080063,            0.048214,            0.036004,            0.011724,            0.083284,            0.008812,            0.008812,            0.008812
                   8,            0.034988,              0.0185,            0.079442,             0.27046,            0.073393,            0.079754,            0.050328,            0.033534,            0.012024,            0.081975,            0.008614,            0.008614,            0.008614
                   9,            0.034724,            0.018357,             0.07835,             0.45747,             0.09966,             0.10625,            0.069268,            0.033409,            0.011277,            0.081133,            0.008416,            0.008416,            0.008416
                  10,            0.033961,            0.017963,             0.07767,             0.35881,            0.098502,             0.10873,            0.075382,            0.034226,            0.011857,            0.080094,            0.008218,            0.008218,            0.008218
                  11,            0.033605,            0.018103,             0.07555,             0.28489,             0.14078,             0.12916,             0.08166,            0.033896,            0.011278,            0.079565,             0.00802,             0.00802,             0.00802
                  12,            0.032037,             0.01735,            0.074405,             0.34994,               0.135,             0.12835,            0.080534,            0.035367,            0.011418,            0.078749,            0.007822,            0.007822,            0.007822
                  13,            0.031793,            0.017202,            0.074321,             0.26004,             0.18196,             0.14061,            0.091561,             0.03552,            0.011678,             0.07798,            0.007624,            0.007624,            0.007624
                  14,            0.031955,             0.01709,            0.072543,             0.31004,             0.20886,              0.1633,             0.10598,            0.032297,            0.012045,            0.077109,            0.007426,            0.007426,            0.007426
                  15,            0.031319,            0.016317,              0.0699,             0.33799,             0.24976,             0.19364,             0.12727,            0.034416,            0.011324,            0.074443,            0.007228,            0.007228,            0.007228
                  16,            0.030266,            0.016169,            0.067606,             0.19307,             0.29296,             0.19902,             0.13418,            0.032401,             0.01131,            0.073608,             0.00703,             0.00703,             0.00703
