               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.023409,             0.01249,            0.021715,             0.61178,             0.58183,             0.60629,             0.41572,            0.033347,            0.011132,            0.046887,             0.07037,           0.0032922,           0.0032922
                   1,            0.031847,            0.013555,            0.023238,             0.56349,             0.56976,             0.57366,             0.36983,            0.036898,            0.010945,            0.046104,            0.040305,           0.0065599,           0.0065599
                   2,            0.034968,            0.013533,            0.026799,             0.55751,             0.52423,             0.55079,             0.33669,            0.038876,            0.011395,            0.048833,            0.010173,           0.0097617,           0.0097617
                   3,             0.03539,            0.014988,            0.029676,             0.52679,             0.50262,             0.50835,             0.31106,            0.039654,            0.012225,            0.052291,            0.009703,            0.009703,            0.009703
                   4,            0.034914,            0.014909,            0.033031,             0.54894,             0.44195,             0.51034,             0.33032,            0.038801,             0.01238,             0.05294,            0.009703,            0.009703,            0.009703
                   5,            0.034248,            0.015351,            0.032383,             0.52033,                0.44,             0.45831,             0.28891,            0.038663,            0.013101,            0.056729,            0.009604,            0.009604,            0.009604
                   6,            0.033437,            0.015991,            0.032959,             0.57998,             0.48174,             0.52582,             0.32205,            0.039325,             0.01265,            0.052343,            0.009505,            0.009505,            0.009505
                   7,            0.033077,            0.015765,            0.030435,             0.58147,             0.51034,             0.52245,             0.34624,            0.036491,            0.012639,            0.049358,            0.009406,            0.009406,            0.009406
                   8,            0.033703,            0.015625,            0.029269,             0.54725,             0.51714,             0.51629,             0.31651,            0.036694,            0.012508,            0.051943,            0.009307,            0.009307,            0.009307
                   9,            0.033347,            0.015834,            0.028422,             0.58274,             0.46835,             0.50603,             0.30554,            0.038674,            0.012275,            0.052473,            0.009208,            0.009208,            0.009208
                  10,            0.033415,            0.015832,            0.027795,              0.5584,             0.53975,             0.55124,             0.35415,            0.036506,            0.012796,            0.049013,            0.009109,            0.009109,            0.009109
                  11,             0.03288,            0.016182,            0.027125,             0.64296,             0.52762,             0.57779,             0.37329,            0.037783,            0.012521,            0.050017,             0.00901,             0.00901,             0.00901
                  12,            0.032876,             0.01562,            0.025492,             0.64221,             0.53536,             0.59837,             0.39615,            0.037152,            0.012396,            0.044304,            0.008911,            0.008911,            0.008911
                  13,            0.032952,            0.015894,            0.026754,              0.6754,             0.55701,             0.60769,             0.39002,            0.037642,            0.012461,            0.046081,            0.008812,            0.008812,            0.008812
                  14,            0.032737,            0.015833,             0.02441,             0.62312,              0.5435,             0.59107,             0.38119,            0.038675,            0.012548,            0.052146,            0.008713,            0.008713,            0.008713
                  15,            0.033094,             0.01556,            0.022298,             0.63586,             0.54916,             0.59342,              0.3941,            0.037721,            0.012638,            0.047152,            0.008614,            0.008614,            0.008614
                  16,            0.031787,            0.015683,            0.022879,              0.6374,             0.53447,             0.58083,             0.38688,            0.037919,            0.012386,            0.047174,            0.008515,            0.008515,            0.008515
                  17,            0.031528,            0.015019,            0.021841,             0.68985,             0.56106,             0.62832,              0.4263,            0.034997,            0.012197,            0.044781,            0.008416,            0.008416,            0.008416
                  18,            0.031597,            0.015515,            0.021513,             0.67773,             0.53243,             0.62364,             0.41238,            0.037154,            0.012292,            0.044591,            0.008317,            0.008317,            0.008317
                  19,            0.031218,             0.01533,             0.02066,             0.64956,             0.58964,             0.63267,             0.41322,            0.034899,            0.012083,              0.0476,            0.008218,            0.008218,            0.008218
                  20,            0.031624,            0.015337,             0.01972,             0.70018,             0.62475,             0.67385,             0.43136,            0.036706,            0.011858,            0.042979,            0.008119,            0.008119,            0.008119
                  21,            0.031462,            0.014623,            0.019675,             0.64886,             0.58824,             0.63153,             0.42406,            0.036786,            0.012322,            0.047946,             0.00802,             0.00802,             0.00802
                  22,             0.03108,            0.015673,            0.019762,             0.69835,             0.55174,             0.62515,             0.42225,            0.038483,            0.012285,            0.045979,            0.007921,            0.007921,            0.007921
                  23,            0.030601,            0.015395,            0.018564,             0.71401,             0.54887,             0.63379,             0.43878,             0.03444,            0.012322,            0.046422,            0.007822,            0.007822,            0.007822
